roi	subject_id	num_bins	prf_ecc_bins	prf_pcm_bins_median	prf_r2_bins_median	prf_pcm_bins_ci_upper_bound	prf_pcm_bins_ci_lower_bound
V2	214524	5	0.845641553401947	7.844757798067945	0.3374227142333984	14.35907695807989	4.432508208923935
V2	214524	6	1.520419716835022	6.146373495715798	0.3547328567504882	9.587655373404235	2.7994115747300734
V2	214524	7	2.5843775272369385	4.106387467316188	0.3569142913818359	7.181305053774028	2.1039161257986474
V2	214524	8	3.873078346252442	2.825273333034441	0.3935607528686523	4.823153760744376	1.414752989096903
V2	214524	9	5.692060947418213	2.384840549621371	0.379384651184082	3.6691260923181375	1.2432545831628117
V3	214524	0	NaN	NaN	NaN	NaN	NaN
V3	214524	1	NaN	NaN	NaN	NaN	NaN
V3	214524	2	0.2334509342908859	23.40546235517533	0.2188782119750976	42.672877747645344	7.322194462005841
V3	214524	3	0.3231695294380188	18.724545017952607	0.2502750778198242	41.93270747974897	4.287331012877123
V3	214524	4	0.5824000239372253	12.544132724411616	0.2908669662475586	21.220591419321	5.283148273169549
V3	214524	5	0.8582034707069397	7.6767774592194975	0.3007719421386718	13.025609224282036	3.6932815811690896
V3	214524	6	1.4844170808792114	5.737503864007356	0.3235902023315429	11.075916126503822	2.1522435755038987
V3	214524	7	2.384213447570801	2.8655237678750685	0.3266844940185547	5.563260528181003	1.060007998309185
V3	214524	8	3.8683130741119385	2.4714273115413947	0.3620650100708008	5.087095353060245	1.1349270946173484
V3	214524	9	5.9367895126342765	1.913537638306156	0.3124312210083008	2.982914877925176	0.7991506972621575
V1	346137	0	NaN	NaN	NaN	NaN	NaN
V1	346137	1	0.1316888481378555	30.471288534887577	0.1078254604339599	38.43093444722242	7.908038749826261
V1	346137	2	0.2088805139064788	23.612640363715364	0.0844490242004394	35.41386702060141	9.28913298273227
V1	346137	3	0.3168589174747467	16.049385967643868	0.1528043127059936	21.57895305129355	4.11763085235649
V1	346137	4	0.5627353191375731	11.516982135893423	0.2300612258911132	33.71565482355611	4.586656309249515
V1	346137	5	0.9211332798004152	6.968427091017296	0.2919952201843261	13.828580585880337	2.7310775636468176
V1	346137	6	1.522917866706848	4.626543761034769	0.387847785949707	11.16388434375074	2.0086665564753066
V1	346137	7	2.354456186294556	4.493738180860333	0.4713760757446289	7.743337091104432	1.5956287532145776
V1	346137	8	3.933614492416381	2.901223631533996	0.4818074798583984	4.990296609342785	1.103147175139978
V1	346137	9	5.8698997497558585	1.918573271425939	0.4308100509643555	3.5928622253270808	0.7100860396908852
